cui	disease_name
C0271092	Progressive cone dystrophy (without rod involvement)
C0271097	Usher Syndrome
C0271183	Severe myopia
C0271578	Female hypogonadism syndrome
C0271694	Familial partial lipodystrophy
C0271695	Rabson-Mendenhall Syndrome
C0271714	Hypoglycemia, leucine-induced
C0271742	Glucocorticoid deficiency with achalasia
C0271829	Pendred's syndrome
C0271844	Parathyroid hyperplasia
C0272066	Glycogen Storage Disease XII
C0272087	Congenital Methemoglobinemia
C0272167	Reticular dysgenesis
C0272174	Lazy Leukocyte Syndrome
C0272199	Familial Hemophagocytic Lymphocytosis
C0272350	Dysfibrinogenemia, Congenital
C0278701	Gastric Adenocarcinoma
C0278803	Adenocarcinoma of small intestine
C0278804	Adenocarcinoma of duodenum
C0278996	Malignant Head and Neck Neoplasm
C0279000	Liver and Intrahepatic Biliary Tract Carcinoma
C0279392	Ovarian mixed epithelial carcinoma
C0279557	Adenosquamous cell lung cancer
C0279563	Lobular carcinoma in situ of breast
C0279565	Invasive Lobular Breast Carcinoma
C0279602	Fibroblastic osteosarcoma
C0279603	Chondroblastic osteosarcoma
C0279622	Small cell osteosarcoma
C0279626	Squamous cell carcinoma of esophagus
C0279628	Adenocarcinoma Of Esophagus
C0279633	Gastric Intestinal-Type Adenocarcinoma
C0279635	Gastric Diffuse Adenocarcinoma
C0279651	Gallbladder adenocarcinoma
C0279653	undifferentiated carcinoma of gallbladder
C0279658	Gallbladder squamous cell carcinoma
C0279661	Acinar cell carcinoma of pancreas
C0279663	Serous cystadenocarcinoma ovary
C0279671	Cervical Squamous Cell Carcinoma
C0279672	Cervical Adenocarcinoma
C0279674	Small cell carcinoma of the cervix
C0279680	Transitional cell carcinoma of bladder
C0279681	Bladder Squamous Cell Carcinoma
C0279682	Bladder Adenocarcinoma
C0279687	Intraocular melanoma, spindle cell
C0279697	squamous cell carcinoma of salivary gland
C0279702	Conventional (Clear Cell) Renal Cell Carcinoma
C0279705	Thymoma, type B3
C0279708	Testicular yolk sac tumour
C0279738	Acinic cell carcinoma of salivary gland
C0279739	Lip basal cell carcinoma
C0279746	Adenocarcinoma of salivary gland
C0279751	Adenoid cystic carcinoma of salivary gland
C0279763	Endometrial Endometrioid Adenocarcinoma, Variant with Squamous Differentiation
C0279765	Endometrial Clear Cell Adenocarcinoma
C0280089	Carcinoid tumor of lung
C0280096	Adenocarcinoma of Unknown Primary
C0280097	Squamous Cell Carcinoma of Unknown Primary
C0280100	Solid Neoplasm
C0280131	Ovarian Teratoma
C0280135	Ovarian germ cell tumour mixed
C0280317	Squamous cell carcinoma of tonsil
C0280324	Laryngeal Squamous Cell Carcinoma
C0280332	Sinonasal Squamous Cell Carcinoma
C0280449	Secondary Acute Myeloid Leukemia
C0280630	Uterine Carcinosarcoma
C0280746	Sarcoma of ovary
C0280788	Anaplastic Ependymoma
C0280793	Mixed Oligodendroglioma-Astrocytoma
C0280803	Primary central nervous system lymphoma
C0280856	Squamous cell carcinoma of vulva
C0281267	bilateral breast cancer
C0281361	Adenocarcinoma of pancreas
C0281508	Desmoplastic Small Round Cell Tumor
C0282160	Aplasia Cutis Congenita
C0282193	Iron Overload
C0282207	Cronkhite-Canada Syndrome
C0282527	Infantile Refsum Disease (disorder)
C0282528	Peroxisomal Disorders
C0282529	Chondrodysplasia Punctata, Rhizomelic
C0282577	Congenital Disorders of Glycosylation
C0302182	Trabecular adenocarcinoma
C0302592	Cervix carcinoma
C0311394	Difficulty walking
C0332563	Papule
C0332573	Macule
C0332615	Myopathic facies
C0333068	Flexion contracture
C0333641	Atrophic
C0333983	Hyperplastic Polyp
C0334001	Atypical adenomatous hyperplasia
C0334038	Gastric metaplasia
C0334044	Dysplasia
C0334082	NEVUS, EPIDERMAL (disorder)
C0334083	Connective tissue nevus, NOS
C0334121	Inflammatory Myofibroblastic Tumor
C0334279	Adenocarcinoma, intestinal type
C0334287	Fibrolamellar Hepatocellular Carcinoma
C0334298	Carcinoid tumor of appendix
C0334338	Endometrioid adenoma, borderline malignancy
C0334344	Sweat gland adenocarcinoma
C0334346	Apocrine adenocarcinoma
C0334347	Eccrine spiradenoma
C0334348	Hidradenoma Papilliferum
C0334378	Adenoma of the nipple
C0334384	Ductal Breast Carcinoma In Situ and Invasive Lobular Carcinoma
C0334412	Lipid cell tumor of ovary
C0334418	Extra-adrenal paraganglioma, malignant
C0334419	Malignant pheochromocytoma
C0334424	Nodular melanoma
C0334433	Junctional nevus
C0334435	Precancerous melanosis
C0334438	Superficial spreading malignant melanoma of skin
C0334443	Epithelioid Cell Melanoma
C0334447	Malignant blue nevus of skin
C0334448	Cellular Blue Nevus
C0334463	Malignant Fibrous Histiocytoma
C0334472	Mixed Liposarcoma
C0334480	Pleomorphic Rhabdomyosarcoma
C0334485	Endometrial stromal nodule
C0334489	Pancreatoblastoma
C0334494	Proliferating Brenner Tumor
C0334495	Malignant Brenner Tumor
C0334507	Synovial sarcoma, biphasic
C0334513	Sarcomatoid Mesothelioma
C0334517	Spermatocytic seminoma
C0334523	Dermoid cyst with secondary tumor
C0334524	Mixed Germ Cell Tumor
C0334525	Struma ovarii, malignant
C0334538	Epithelioid hemangioendothelioma, malignant
C0334549	Juxtacortical chondrosarcoma
C0334551	Myxoid chondrosarcoma
C0334558	Malignant odontogenic tumor
C0334574	Calcifying Epithelial Odontogenic Tumor
C0334576	Gliomatosis cerebri
C0334579	Anaplastic astrocytoma
C0334581	Gemistocytic astrocytoma
C0334582	Fibrillary Astrocytoma
C0334583	Pilocytic Astrocytoma
C0334586	Pleomorphic Xanthoastrocytoma
C0334587	Astroblastoma
C0334590	Anaplastic Oligodendroglioma
C0334605	Meningothelial meningioma
C0334606	Fibrous Meningioma
C0334608	Angiomatous Meningioma
C0334611	Transitional Meningioma
C0334618	Malignant granular cell tumor
C0334633	Malignant lymphoma - lymphoplasmacytic
C0334634	Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse
C0334664	Mast Cell Neoplasm
C0334699	Malignant myoepithelioma
C0338078	Non-Functioning Pituitary Gland Neoplasm
C0338106	Adenocarcinoma of colon
C0338451	Frontotemporal dementia
C0338484	Familial Hemiplegic Migraine
C0338488	Alternating hemiplegia of childhood
C0338502	Optic Nerve Hypoplasia
C0338508	Optic Atrophy 1
C0338656	Impaired cognition
C0339273	Corneal dystrophy, Lattice type 3
C0339349	Neoplasm of ciliary body
C0339525	Autosomal dominant retinitis pigmentosa
C0339526	Autosomal recessive retinitis pigmentosa
C0339527	Leber Congenital Amaurosis
C0339534	Usher syndrome type 2
C0339535	Night blindness, congenital stationary
C0339573	Glaucoma, Primary Open Angle
C0340375	Subaortic stenosis
C0340427	Familial dilated cardiomyopathy
C0340429	Familial restrictive cardiomyopathy (disorder)
C0340477	Re-entrant atrioventricular tachycardia
C0340493	Paroxysmal familial ventricular fibrillation
C0340803	Capillary malformation (disorder)
C0340968	Deficiency of pyruvate kinase
C0340978	May-Hegglin anomaly
C0341225	Gastric Hamartoma
C0342185	Hyperthyroxinemia, Familial Dysalbuminemic
C0342276	Maturity onset diabetes mellitus in young
C0342278	Diabetes Mellitus, Insulin-Resistant, with Acanthosis Nigricans
C0342286	Woodhouse Sakati syndrome
C0342336	Insulin resistance - type A
C0342384	Idiopathic hypogonadotropic hypogonadism
C0342418	Hypothalamic hamartomas
C0342471	3 beta-Hydroxysteroid dehydrogenase deficiency
C0342494	Adrenocortical hyperplasia
C0342573	PITUITARY DWARFISM I
C0342642	Autosomal dominant hypophosphatemic rickets
C0342646	Vitamin D-Dependent Rickets, Type 2A
C0342708	Gamma aminobutyric acid transaminase deficiency
C0342727	3-@METHYLGLUTACONIC ACIDURIA, TYPE I
C0342738	Beta-Hydroxyisobutyryl CoA Deacylase Deficiency
C0342770	Fumarase deficiency
C0342782	Depletion of mitochondrial DNA
C0342784	Pearson's marrow-pancreas syndrome
C0342790	Carnitine palmitoyl transferase 2 deficiency
C0342853	Sialuria
C0342856	Coproporphyria
C0342859	Harderoporphyria
C0342870	Bifunctional peroxisomal enzyme deficiency
C0342898	Apolipoprotein A-I deficiency
C0343190	Cutaneous polyarteritis nodosa
C0343640	African Burkitt's lymphoma
C0344232	Blurred vision
C0344329	Collapse (finding)
C0344432	Ventricular tachycardia, polymorphic
C0344452	Microprolactinoma
C0344482	Hypoplasia of corpus callosum
C0344724	Ostium secundum atrial septal defect
C0344787	Complete atrioventricular septal defect
C0344975	Pulmonary Atresia with Intact Ventricular Septum
C0345030	Peripheral pulmonary artery stenosis
C0345050	Congenital aneurysm of ascending aorta
C0345093	Interrupted aortic arch between left subclavian and left common carotid artery
C0345407	OSTEOPETROSIS, AUTOSOMAL RECESSIVE 3
C0345602	Parotid Gland Carcinoma
C0345905	Intrahepatic Cholangiocarcinoma
C0345945	Adenoid cystic carcinoma of trachea
C0345946	Squamous cell carcinoma of trachea
C0345958	Large cell carcinoma of lung
C0345960	Giant cell carcinoma of lung
C0345961	Epithelioid hemangioendothelioma of lung
C0345967	Malignant mesothelioma
C0345988	Neoplasm of skin with adnexal differentiation
C0346027	Microcystic adnexal carcinoma
C0346037	Acral Lentiginous Malignant Melanoma
C0346056	Neuromuscular hamartoma
C0346064	Cutaneous leiomyoma
C0346109	Malignant Mesothelioma of Peritoneum
C0346163	Endometrioid carcinoma ovary
C0346166	Mixed epithelial tumor of ovary
C0346167	Undifferentiated carcinoma of ovary
C0346178	Ovarian gynandroblastoma
C0346181	Choriocarcinoma of ovary
C0346183	Ovarian Embryonal Carcinoma
C0346185	Dysgerminoma of ovary
C0346188	Endodermal sinus tumor of ovary
C0346202	Cervical Adenosquamous Carcinoma
C0346210	Vulval intraepithelial neoplasia
C0346255	Oncocytoma, renal
C0346286	Brain Oligodendroglioma
C0346300	Pituitary carcinoma
C0346302	Growth Hormone-Secreting Pituitary Adenoma
C0346304	Gonadotroph adenoma
C0346326	Optic Nerve Glioma
C0346347	Rhabdomyosarcoma of the orbit
C0346359	Squamous cell carcinoma of conjunctiva
C0346360	Malignant melanoma of conjunctiva
C0346363	Nevus of conjunctiva
C0346416	Benign neuroendocrine tumor
C0346421	Chronic eosinophilic leukemia
C0346629	Malignant neoplasm of large intestine
C0346647	Malignant neoplasm of pancreas
C0346770	Malignant tumor of epidermal appendage
C0347126	Carcinoma in situ of cecum
C0347284	Benign tumor of pancreas
C0349515	Amelanotic Skin Melanoma
C0349529	Gastric Carcinoid Tumor
C0349536	Small Intestinal Carcinoid Tumor
C0349538	Malignant melanoma of anus
C0349540	Astrocytoma of spinal cord
C0349543	Brain Glioblastoma
C0349571	Pleomorphic adenoma of parotid gland
C0349578	Complex Endometrial Hyperplasia
C0349579	Atypical Endometrial Hyperplasia
C0349588	Short stature
C0349620	Pilocytic astrocytoma of cerebellum
C0349623	Primary Melanocytic Lesion of Meninges
C0349631	Richter's syndrome
C0349639	Juvenile Myelomonocytic Leukemia
C0349649	Pulmonary lymphangioleiomyomatosis
C0349658	Trichoepithelioma
C0349666	Bladder Sarcoma
C0349671	Sertoli cell tumor of testis
C0349788	Arrhythmogenic Right Ventricular Dysplasia
C0375206	Hemiplegia/hemiparesis
C0376358	Malignant neoplasm of prostate
C0376544	Hematopoietic Neoplasms
C0376545	Hematologic Neoplasms
C0391826	Lhermitte-Duclos disease
C0392784	Dermatofibrosarcoma Protuberans
C0392788	Nasal Type Extranodal NK/T-Cell Lymphoma
C0392998	Carcinosarcoma of ovary
C0393538	Muscular Atrophy, Spinal, Type II
C0393541	Distal Spinal Muscular Atrophy
C0393559	Troyer syndrome
C0393588	Dystonia, Paroxysmal
C0393591	AICARDI-GOUTIERES SYNDROME
C0393665	Multiple Sclerosis, Chronic Progressive
C0393807	Hereditary motor and sensory neuropathy with optic atrophy (disorder)
C0393814	Hereditary liability to pressure palsies
C0396023	Chronic adenoiditis
C0398595	Myeloperoxidase Deficiency
C0398650	Immune thrombocytopenic purpura
C0398764	Complement Factor D Deficiency
C0398791	Nijmegen Breakage Syndrome
C0399376	Amelogenesis Imperfecta, Type III
C0403397	Steroid-resistant nephrotic syndrome
C0403399	Finnish congenital nephrotic syndrome
C0403553	Renal dysplasia and retinal aplasia (disorder)
C0403810	Oligosynaptic Infertility
C0403812	Male Infertility with Large-Headed, Multiflagellar, Polyploid Spermatozoa
C0403814	Congenital bilateral aplasia of vas deferens
C0406585	Lethal tight skin contracture syndrome (disorder)
C0406586	Wiedemann-Rautenstrauch syndrome
C0406612	Encephalocraniocutaneous lipomatosis
C0406726	Orofaciodigital syndrome 3
C0406740	Kohlschutter Tonz syndrome
C0406775	Symmetrical dyschromatosis of extremities
C0406803	Syringocystadenoma Papilliferum
C0406810	Carney Complex
C0410189	Muscular Dystrophy, Emery-Dreifuss
C0410190	Autosomal Dominant Emery-Dreifuss Muscular Dystrophy (disorder)
C0410192	Muscular Dystrophy, Scapulohumeral
C0410203	X-linked centronuclear myopathy
C0410204	Myopathy, Centronuclear, Autosomal Recessive
C0410422	Chronic multifocal osteomyelitis
C0410528	Skeletal dysplasia
C0410529	Hypochondroplasia (disorder)
C0410530	Metachondromatosis
C0410916	Neonatal Death
C0423113	Telecanthus
C0423318	Heterochromia iridis
C0423798	Increased tendency to bruise
C0423820	Ridged nails
C0424295	Hyperactive behavior
C0424503	Dysmorphic facies
C0424605	Developmental delay (disorder)
C0424731	Single transverse palmar crease
C0426790	Narrow thorax
C0426970	Spastic Quadriplegia
C0427055	Facial Paresis
C0427065	Distal muscle weakness
C0431108	Anaplastic Oligoastrocytoma
C0431109	Choroid Plexus Carcinoma
C0431121	Clear Cell Meningioma
C0431122	Atypical meningioma
C0431128	Papillary craniopharyngioma
C0431129	Adamantinous Craniopharyngioma
C0431352	Secondary microcephaly
C0431362	Lobar Holoprosencephaly
C0431375	Classical Lissencephaly
C0431380	Cortical Dysplasia
C0431391	Hemimegalencephaly
C0431399	Familial aplasia of the vermis
C0431693	Renal cysts and diabetes syndrome
C0431718	Multiple renal cysts
C0432098	Cleft Soft Palate
C0432122	Interfrontal craniofaciosynostosis
C0432201	Boomerang dysplasia
C0432211	Spondyloepimetaphyseal disorder
C0432217	Wolcott-Rallison syndrome
C0432219	Opsismodysplasia
C0432243	Spondyloepimetaphyseal Dysplasia With Joint Laxity
C0432246	Microcephalic Osteodysplastic Primordial Dwarfism, Type II
C0432255	Geroderma osteodysplastica
C0432283	Osteoglophonic dwarfism
C0432284	Infantile myofibromatosis
C0432289	Winchester syndrome (disorder)
C0432291	Mandibuloacral dysostosis
C0432306	Ichthyosis Bullosa of Siemens
C0432316	Epidermolysis bullosa simplex with mottled pigmentation
C0432487	Post-transplant lymphoproliferative disorder
C0445118	Nephrotic range proteinuria
C0452138	Sensorineural hearing loss, bilateral
C0454641	Expressive language delay
C0454644	Delayed speech and language development
C0456483	Simple Endometrial Hyperplasia
C0456909	Blindness
C0457521	Unicystic ameloblastoma
C0457532	Granular cell ameloblastoma
C0457533	Desmoplastic ameloblastoma
C0472803	Hypodysfibrinogenemia
C0472817	WHIM syndrome
C0473237	Frank hematuria
C0474834	Benign Brenner Tumor
C0475801	Leukemia, Prolymphocytic, B-Cell
C0476089	Endometrial Carcinoma
C0494261	Combined immunodeficiency
C0494475	Tonic - clonic seizures
C0495106	Vulval intraepithelial neoplasia grade 1
C0496874	Benign neoplasm of peritoneum
C0496899	Benign neoplasm of brain, unspecified
C0497327	Dementia
C0520679	Sleep Apnea, Obstructive
C0520806	Unexplained sudden death
C0520863	Diastolic dysfunction
C0521525	Short neck
C0521694	Atrophic retina
C0521802	Congenital atransferrinemia
C0522624	Subcutaneous panniculitis-like T-cell lymphoma
C0524528	Pervasive Development Disorder
C0541794	Skeletal muscle atrophy
C0541912	Duodenal Cancer
C0542028	Breast hyperplasia
C0542519	Congenital absence of kidney
C0543514	Glycogen Storage Disease IXB
C0543859	Amyotrophic Lateral Sclerosis, Guam Form
C0543888	Epileptic encephalopathy
C0544855	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 3
C0544862	Neurocutaneous melanosis
C0546264	Congenital Fiber Type Disproportion
C0546837	Malignant neoplasm of esophagus
C0549473	Thyroid carcinoma
C0553580	Ewings sarcoma
C0553586	Cafe-au-lait macules with pulmonary stenosis
C0553681	Hypofibrinogenemia
C0553723	Squamous cell carcinoma of skin
C0557874	Global developmental delay
C0558353	Tongue Carcinoma
C0558356	Malignant melanoma of eye
C0559460	Adrenal neuroblastoma
C0559487	Paratesticular tumor
C0566602	Primary sclerosing cholangitis
C0575081	Gait abnormality
C0575897	Thumb deformity
C0577692	Transitional cell carcinoma of ureter
C0578038	Thin lips
C0578878	Inflammation of large intestine
C0585362	Squamous cell carcinoma of mouth
C0585442	Osteosarcoma of bone
C0585475	Pilomatrix carcinoma of skin
C0585955	Dysplasia of larynx
C0586355	Mild esophageal dysplasia
C0587248	Costello syndrome (disorder)
C0595989	Carcinoma of larynx
C0598226	Harlequin type ichthyosis
C0598790	Sarcoma of lung
C0598798	Lymphoid neoplasm
C0599035	Hyperornithinemia
C0600079	Ureter Carcinoma
C0600113	Stromal tumor of ovary
C0600139	Prostate carcinoma
C0677055	CARCINOMA OF VULVA
C0677607	Hashimoto Disease
C0677776	Hereditary Breast and Ovarian Cancer Syndrome
C0677865	Brain Stem Glioma
C0677886	Epithelial ovarian cancer
C0678202	Regional enteritis
C0678222	Breast Carcinoma
C0678230	Congenital Epicanthus
C0684249	Carcinoma of lung
C0684354	Benign neoplasm of sweat gland
C0685121	Benign neoplasm of blood vessel
C0685837	Pure Gonadal Dysgenesis, 46, XX
C0685838	Gonadal dysgenesis XX type deafness
C0685889	Splenic Hypoplasia
C0686467	Benign neoplasm of uveal tract
C0687120	Nephronophthisis
C0687150	Parathyroid Gland Adenocarcinoma
C0687751	Acanthocytosis
C0699743	Congenital muscular dystrophy (disorder)
C0699790	Colon Carcinoma
C0699791	Stomach Carcinoma
C0699885	Carcinoma of bladder
C0699893	Skin carcinoma
C0700078	Decreased tendon reflex
C0700367	Ependymoblastoma
C0728829	Congenital pes cavus
C0729264	Preterm premature rupture of membranes (disorder)
C0730199	Villous adenoma of rectum
C0730290	Cone Dystrophy
C0730292	Macular dystrophy
C0740083	Carcinoma of glottis
C0740277	Bile duct carcinoma
C0740279	Atrophy of cerebellum
C0740479	Undifferentiated High Grade Pleomorphic Sarcoma of Bone
C0740480	Cerebellar Astrocytoma
C0741494	Elevated total bilirubin
C0742608	Colon Hyperplastic Polyp
C0743301	Duodenal Adenoma
C0744333	Gastrointestinal polyps
C0745103	Hyperlipoproteinemia Type IIa
C0745109	Macular hyperpigmentation
C0745216	Carcinoid tumor of ileum
C0745730	Multiple lipomata
C0747251	Progressive spastic paraparesis
C0747548	Pharyngeal Carcinoma
C0748397	Reynolds syndrome
C0749424	Thyroid Hurthle Cell Carcinoma
C0750384	Coumarin Resistance
C0750901	Alzheimer Disease, Early Onset
C0750935	Cerebral Astrocytoma
C0751036	Hereditary Motor and Sensory Neuropathy Type I
C0751083	Duane Retraction Syndrome, Type 2
C0751093	Dystonia, Limb
C0751122	Infantile Severe Myoclonic Epilepsy
C0751157	FRAXE Syndrome
C0751202	Cystathionine beta-Synthase Deficiency Disease
C0751291	Desmoplastic Medulloblastoma
C0751336	Distal Muscular Dystrophies
C0751495	Seizures, Focal
C0751571	Cancer of Urinary Tract
C0751651	Mitochondrial Diseases
C0751674	Lymphangioleiomyomatosis
C0751690	Malignant Peripheral Nerve Sheath Tumor
C0751778	Myoclonic Epilepsies, Progressive
C0751783	Lafora Disease
C0751785	Unverricht-Lundborg Syndrome
C0751837	Gait Ataxia
C0751915	Pelizaeus-Merzbacher Disease, Atypical
C0751967	Multiple Sclerosis, Relapsing-Remitting
C0752120	Spinocerebellar Ataxia Type 1
C0752123	Spinocerebellar Ataxia Type 5
C0752166	Bardet-Biedl Syndrome
C0752210	Dyskinesias, Paroxysmal
C0752347	Lewy Body Disease
C0795690	Congenital omphalocele
C0795841	Jacobsen Distal 11q Deletion Syndrome
C0795910	COWCHOCK SYNDROME
C0795934	Digitorenocerebral Syndrome
C0795950	Corpus callosum agenesis neuronopathy
C0795953	MASA SYNDROME (disorder)
C0795956	Chylomicron retention disease
C0795998	JACKSON-WEISS SYNDROME
C0796004	Kabuki make-up syndrome
C0796016	Microphthalmia, syndromic 1
C0796028	ATAXIA, FATAL X-LINKED, WITH DEAFNESS AND LOSS OF VISION
C0796031	Malouf syndrome
C0796037	Martsolf syndrome
C0796063	microcephaly-digital anomalies syndrome
C0796074	MOHR-TRANEBJAERG SYNDROME
C0796089	LISSENCEPHALY SYNDROME, NORMAN-ROBERTS TYPE
C0796113	Nephroblastomatosis, fetal ascites, macrosomia and Wilms tumor
C0796126	AICARDI-GOUTIERES SYNDROME 1
C0796135	Renpenning syndrome 1
C0796137	3C syndrome
C0796205	SPINOCEREBELLAR ATAXIA, X-LINKED 1
C0796208	MENTAL RETARDATION, X-LINKED 3
C0796218	MENTAL RETARDATION, X-LINKED 12
C0796224	MENTAL RETARDATION, X-LINKED 18
C0796225	Mental Retardation, X-Linked 19
C0796232	Bohring syndrome
C0796254	DANDY-WALKER MALFORMATION WITH MENTAL RETARDATION, BASAL GANGLIA DISEASE, AND SEIZURES
C0796275	Brunner Syndrome
C0813217	Expressionless face
C0813230	Serum triglycerides increased
C0836924	Thrombocytosis
C0846967	Acanthoma
C0852343	Polycythaemia (excl rubra vera)
C0852413	Abnormal muscle tone
C0853105	Penis carcinoma
C0853697	Neutrophil count decreased
C0853879	Invasive carcinoma of breast
C0854110	Insulin-resistant diabetes mellitus
C0854196	Hepatobiliary neoplasm
C0854699	Trichomegaly
C0854723	Retinal Dystrophies
C0855052	Extraskeletal Osteosarcoma
C0855139	Monocytoid B-cell lymphoma
C0855173	Placental Choriocarcinoma
C0855329	Electrocardiogram change
C0855740	Abnormal platelet function
C0856761	Budd-Chiari Syndrome
C0856975	Autistic behavior
C0858252	Adenocarcinoma of breast
C0860580	Medullary carcinoma of breast
C0861854	Adenosquamous Bile Duct Carcinoma
C0861861	Squamous Cell Bile Duct Carcinoma
C0862196	Mycosis fungoides/Sezary syndrome NOS
C0862312	Epithelioid mesothelioma, malignant
C0862878	Dedifferentiated chondrosarcoma
C0863015	Transitional cell carcinoma urethra
C0863027	Leydig cell neoplasm of testis
C0878524	Peripheral neuroblastoma
C0878544	Cardiomyopathies
C0878649	Gastric hyperplastic polyp
C0878666	Analbuminemia
C0878676	6-pyruvoyl-tetrahydropterin synthase deficiency
C0878677	Glycogen Storage Disease Type IIb
C0878682	Ceruloplasmin deficiency
C0878684	SHORT syndrome
C0917713	Becker Muscular Dystrophy
C0917796	Optic Atrophy, Hereditary, Leber
C0917800	Epilepsy, Myoclonic, Infantile
C0917804	Arteriovenous Malformations, Cerebral
C0917890	Pineocytoma
C0919267	ovarian neoplasm
C0920296	Developmental reading disorder
C0936282	Blastoma
C0948008	Ischemic stroke
C0948101	Gastrointestinal tract adenoma
C0948216	Ovarian adenocarcinoma
C0948368	Kaufman-McKusick syndrome
C0948750	Salivary gland carcinoma
C0949059	Polyp of large intestine
C0949506	Porokeratosis of Mibelli
C0949658	Cardiomyopathy, Hypertrophic, Familial
C0950123	Genetic Diseases, Inborn
C0973461	Dysphasia
C0994516	Type 1 Duane Retraction Syndrome
C1096610	Corneal crystalline deposits
C1112501	Colorectal hyperplastic polyp
C1112503	Tubular adenoma of colon
C1112748	Colonic tubulovillous adenoma
C1134719	Invasive Ductal Breast Carcinoma
C1135191	Heart Failure, Systolic
C1136033	Cutaneous Mastocytosis
C1136179	Hammer Toe
C1136249	Mental Retardation, X-Linked
C1140680	Malignant neoplasm of ovary
C1141890	Congenital long QT syndrome
C1142166	Brugada Syndrome (disorder)
C1148551	X-Linked Dyskeratosis Congenita
C1153706	Endometrial adenocarcinoma
C1168401	Squamous cell carcinoma of the head and neck
C1260325	Dendritic Cell Sarcoma, Follicular
C1260326	Dendritic Cell Sarcoma, Interdigitating
C1260327	Langerhans Cell Sarcoma
C1260899	Anemia, Diamond-Blackfan
C1260959	Drusen
C1261473	Sarcoma
C1263846	Attention deficit hyperactivity disorder
C1263857	Peripheral axonal neuropathy
C1266011	Papillary transitional cell carcinoma, non-invasive
C1266042	Chromophobe Renal Cell Carcinoma
C1266043	Sarcomatoid Renal Cell Carcinoma
C1266044	Collecting Duct Carcinoma of the Kidney
C1266045	Metanephric adenoma
C1266050	Poorly Differentiated Thyroid Carcinoma
C1266059	Adenocarcinoma, endocervical type
C1266065	Eccrine porocarcinoma
C1266090	Hepatoid adenocarcinoma
C1266091	Thymoma, type A
C1266092	Thymoma, type AB
C1266094	Thymoma, type B1
C1266095	Thymoma, type B2
C1266099	Thyroid Gland Spindle Cell Tumor with Thymus-Like Differentiation
C1266109	Large cell calcifying Sertoli cell tumor
C1266112	Diffuse melanocytosis
C1266113	Meningeal melanocytoma
C1266115	Mucosal lentiginous melanoma
C1266119	Solitary fibrous tumor
C1266134	Spindle cell rhabdomyosarcoma
C1266138	Benign cystic nephroma
C1266144	Pleuropulmonary blastoma
C1266165	High grade surface osteosarcoma
C1266177	Dysembryoplastic neuroepithelial tumor
C1266180	Large cell medulloblastoma
C1266184	Atypical Teratoid Rhabdoid Tumor
C1269683	Major Depressive Disorder
C1271100	Lower limb spasticity
C1274743	Hyperhidrosis Palmaris Et Plantaris
C1275081	Cardio-facio-cutaneous syndrome
C1275122	Familial multiple trichoepitheliomata
C1275210	Sebaceoma
C1275278	Extraskeletal Myxoid Chondrosarcoma
C1275420	Extra-abdominal fibromatosis
C1276035	Pena-Shokeir syndrome type I
C1290916	Radiologic finding
C1291230	3-Hydroxyacyl-CoA Dehydrogenase Deficiency
C1291328	Deficiency of transketolase
C1291329	Transaldolase Deficiency
C1291620	Deficiency of bisphosphoglycerate mutase
C1292753	Primary Effusion Lymphoma
C1292758	Precursor T-cell lymphoblastic lymphoma
C1292769	Precursor B-cell lymphoblastic leukemia
C1292771	Chronic Myelogenous Leukemia, BCR-ABL1 Positive
C1292773	Acute myeloid leukemia with multilineage dysplasia
C1292776	Therapy-related acute myeloid leukemia and myelodysplastic syndrome
C1292777	Aggressive natural killer-cell leukemia
C1292778	Chronic myeloproliferative disorder
C1292780	Therapy-related myelodysplastic syndrome
C1298695	Hypoplasia of optic disc
C1298820	Aneurysm of aortic root
C1299240	Carcinoma of supraglottis
C1300127	Perivascular Epithelioid Cell Neoplasms
C1300257	Thanatophoric dysplasia, type 2
C1300585	Small cell carcinoma of prostate
C1301034	Pancreatic intraepithelial neoplasia
C1301194	Salivary duct carcinoma
C1301355	Myelodysplastic-Myeloproliferative Diseases
C1301357	Acute Leukemia of Ambiguous Lineage
C1301359	Precursor T cell lymphoblastic leukemia/lymphoblastic lymphoma
C1301363	Blastic plasmacytoid dendritic cell neoplasm
C1302363	Dysplasia of colon
C1302392	Adenoma of small intestine
C1302401	Adenoma of large intestine
C1302547	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma
C1302645	Polyp of small intestine
C1302652	Adenoma of rectum
C1302746	Melanocytic neoplasm
C1302808	Myopericytoma
C1302864	Eccrine carcinoma of skin
C1303073	Nicolaides Baraitser syndrome
C1304508	Spindle cell hemangioma
C1304517	Extrarenal rhabdoid tumor
C1305968	Eccrine dermal cylindroma
C1306214	ACTH-Secreting Pituitary Adenoma
C1306247	Melanotic schwannoma
C1306589	Congenital dyserythropoietic anemia, type II
C1306837	Papillary Renal Cell Carcinoma
C1314665	Serum alkaline phosphatase raised
C1314678	Ameloblastic carcinoma
C1318543	Fibrous histiocytoma of tendon sheath
C1318558	Congenital melanocytic nevus
C1319315	Adenocarcinoma of large intestine
C1319317	Squamous cell carcinoma of pharynx
C1319466	Barber Say syndrome
C1321489	Torre-Muir syndrome
C1321878	Desmoplastic infantile ganglioglioma
