#DiseaseName	SourceName	ConceptID	SourceID	DiseaseMIM	LastModified	Category
cleft lip and palate					05 Sep 2019	Finding
Cleft lip and palate malrotation cardiopathy	MONDO		MONDO:0022775		16 Feb 2016	Disease
Cleft lip and/or palate					30 Mar 2018	Finding
Cleft lip and/or palate with mucous cysts of lower	MONDO		MONDO:0022776		16 Feb 2016	Disease
Cleft lip palate abnormal thumbs microcephaly					16 Feb 2016	Disease
Cleft lip palate deafness sacral lipoma					16 Feb 2016	Disease
Cleft lip palate dysmorphism kumar type	MONDO		MONDO:0022777		22 Jan 2021	Disease
Cleft lip palate incisor and finger anomalies					16 Feb 2016	Disease
Cleft lip palate intellectual disability corneal opacity	MONDO		MONDO:0022778		07 Jun 2021	Disease
Cleft lip palate oligodontia syndactyly pili torti	MONDO		MONDO:0022779		16 Feb 2016	Disease
Cleft lip palate pituitary deficiency	MONDO		MONDO:0022780		16 Feb 2016	Disease
Cleft lip palate-tetraphocomelia	MONDO		MONDO:0022781		16 Feb 2016	Disease
Cleft lip with or without cleft palate	MONDO	CN277973	MONDO:0016034		22 Jan 2021	Disease
Cleft lip with or without cleft palate, nonsyndromic, 7	NCBI curation				16 Feb 2016	Disease
Cleft lip with or without cleft palate, nonsyndromic, 8	NCBI curation				16 Feb 2016	Disease
Cleft lip-retinopathy syndrome	MONDO	C2931789	MONDO:0016051		17 Apr 2020	Disease
Cleft lip/palate	MONDO	C0158646	MONDO:0016044		16 Feb 2016	Disease
Cleft lip/palate with characteristic facies, intestinal malrotation, and lethal congenital heart disease	NCBI curation	C2931750		601165	16 Feb 2016	Disease
Cleft lip/palate-deafness-sacral lipoma syndrome	MONDO	CN200748	MONDO:0016059		17 Apr 2020	Disease
Cleft lip/palate-ectodermal dysplasia syndrome	MONDO	C2931488	MONDO:0009151	225060	13 Aug 2017	Disease
Cleft lower alveolar ridge	Human Phenotype Ontology	C1849350	HP:0009094		16 Feb 2016	Finding
Cleft lower lip	Human Phenotype Ontology	C1856026	HP:0010281		16 Feb 2016	Finding
Cleft lower lip cleft lateral canthi chorioretinal	MONDO		MONDO:0022782		16 Feb 2016	Disease
Cleft mandible	Human Phenotype Ontology	C0685786	HP:0010752		16 Feb 2016	Finding
cleft mitral valve		C0344772			05 Sep 2019	Finding
cleft of alae nasi		CN234766			16 Feb 2016	Finding
Cleft of alveolar ridge of maxilla	Human Phenotype Ontology	C2919907	HP:0010289		04 Apr 2018	Finding
Cleft of soft palate	Human Phenotype Ontology	C0432098	HP:0000185	119570	10 Apr 2018	Disease
Cleft palate	MONDO	C2981150	MONDO:0016064		29 Feb 2016	Disease
Cleft palate	Human Phenotype Ontology	C2981150	HP:0000175		29 Feb 2016	Disease
Cleft palate (soft palate)					19 Aug 2020	Finding
Cleft palate cardiac defect ectrodactyly	MONDO		MONDO:0022785		16 Feb 2016	Disease
Cleft palate colobomata radial synostosis deafness	MONDO		MONDO:0022786		16 Feb 2016	Disease
Cleft palate heart disease polydactyly absent tibia	MONDO		MONDO:0022787		16 Feb 2016	Disease
Cleft palate short stature vertebral anomalies					16 Feb 2016	Disease
Cleft palate with ankyloglossia	NCBI curation	C1844831			16 Feb 2016	Disease
Cleft palate with or without ankyloglossia, X-linked	MONDO	C1844830	MONDO:0010560	303400	22 Jan 2021	Disease
cleft palate with unilateral cleft lip					05 Sep 2019	Finding
Cleft palate, cardiac defect, genital anomalies, and ectrodactyly	NCBI curation	C1838121		600460	16 Feb 2016	Disease
Cleft palate, cardiac defects, and mental retardation	NCBI curation	C1832950		600987	20 Jun 2017	Disease
Cleft palate, isolated	NCBI curation	C1837218		119540	16 Feb 2016	Disease
Cleft palate, isolated, and mental retardation	NCBI curation	C1970095			16 Feb 2016	Disease
Cleft palate, midfacial hypoplasia, triangular facies, and sensorineural hearing loss	MONDO	C1836120	MONDO:0012283	609466	16 Feb 2016	Disease
Cleft palate, proliferative retinopathy, and developmental delay	MONDO	C5436739	MONDO:0033641	619074	22 Jan 2021	Disease
Cleft palate, psychomotor retardation, and distinctive facial features	NCBI curation	C4225229		616728	16 Feb 2016	Disease
Cleft palate-large ears-small head syndrome	MONDO	C1867023	MONDO:0008402	181180	17 Apr 2020	Disease
Cleft palate-lateral synechia syndrome	MONDO	C0795898	MONDO:0007337	119550	16 Feb 2016	Disease
Cleft palate-short stature-vertebral anomalies syndrome	MONDO	CN200784	MONDO:0016065		17 Apr 2020	Disease
Cleft palate-stapes fixation-oligodontia syndrome	MONDO	C1859081	MONDO:0008993	216300	17 Apr 2020	Disease
Cleft primary palate	Human Phenotype Ontology	C0432084	HP:0410003		16 Feb 2016	Finding
Cleft secondary palate	Human Phenotype Ontology	CN225918	HP:0410004		16 Feb 2016	Finding
Cleft tongue syndrome					16 Feb 2016	Disease
Cleft upper lip	Human Phenotype Ontology	C0008924	HP:0000204		16 Feb 2016	Finding
Cleft upper lip median cutaneous polyps					16 Feb 2016	Disease
Cleft uvula	Human Phenotype Ontology	C0266122	HP:0000193	192100	10 Apr 2018	Disease
Cleft vertebral arch	Human Phenotype Ontology	C1859458	HP:0004616		16 Feb 2016	Finding
cleidocranial					05 Sep 2019	Finding
Cleidocranial dysostosis		C0008928		119600	16 Feb 2016	Disease
Cleidocranial dysplasia and isolated cranial ossification defect	MONDO	CN227678	MONDO:0019709		17 Apr 2020	Disease
Cleidocranial dysplasia, forme fruste	NCBI curation	C4016654			16 Feb 2016	Disease
Cleidocranial dysplasia, forme fruste, dental anomalies only	NCBI curation	C1838416			16 Feb 2016	Disease
Cleidocranial dysplasia, forme fruste, with brachydactyly	NCBI curation	C1861516			16 Feb 2016	Disease
Cleidocranial dysplasia, recessive form	MONDO	C1859080	MONDO:0008994	216330	22 Apr 2020	Disease
Cleidocranial dysplasia, severe, with osteoporosis and scoliosis	NCBI curation	C4016655			16 Feb 2016	Disease
Cleidorhizomelic syndrome	MONDO	C1861515	MONDO:0007341	119650	16 Feb 2016	Disease
Clemastine response		CN297752			23 Jun 2021	Pharmacological response
Clindamycin response		CN297753			23 Jun 2021	Pharmacological response
Clinical features observed in individuals					14 Jun 2018	Finding
Clinical features observed in the individual					14 Jul 2017	Finding
Clinical features observed in the individuals					21 May 2019	Finding
Clinical features observed in these individuals					05 Sep 2017	Finding
Clinical features observed in this indivdual					12 Jun 2019	Finding
Clinical features observed in this individual		CN314203			12 Jul 2017	Finding
Clinical features observed in this individual: distal sensory neuropathy, neuropathic tremor, bilateral pyramidal signs, and MRI revealed lacunar infarct trigone.					24 Nov 2017	Finding
Clinical features observed in this individual: macroglossia, macrosomia, ear creases.					13 Sep 2017	Finding
clinical features of Costello Syndrome		CN235276			19 Feb 2016	Finding
Clinical features of skin fragility observed in this individual		CN239808			29 Dec 2016	Finding
Clinical manifestations of cardio-facio cutaneous syndrome		CN235292			20 Feb 2016	Finding
Clinnical features observed in this individual					24 Feb 2021	Finding
clino-symphalangism					10 Aug 2018	Disease
Clinodactyly	Human Phenotype Ontology	C4551485	HP:0030084		16 Feb 2016	Finding
clinodactyly fifth fingers					18 Aug 2017	Finding
Clinodactyly of hallux	Human Phenotype Ontology	C4022488	HP:0040018		16 Feb 2016	Finding
Clinodactyly of the 2nd finger	Human Phenotype Ontology	C4022486	HP:0040022		16 Feb 2016	Finding
Clinodactyly of the 2nd toe	Human Phenotype Ontology	C4021620	HP:0005824		16 Feb 2016	Finding
Clinodactyly of the 3rd finger	Human Phenotype Ontology	C4022485	HP:0040024		16 Feb 2016	Finding
Clinodactyly of the 3rd toe	Human Phenotype Ontology	C4021555	HP:0008115		16 Feb 2016	Finding
Clinodactyly of the 4th finger	Human Phenotype Ontology	C4022484	HP:0040025		16 Feb 2016	Finding
Clinodactyly of the 4th toe	Human Phenotype Ontology	C4020740	HP:0011918		16 Feb 2016	Finding
Clinodactyly of the 5th finger	Human Phenotype Ontology	C1850049	HP:0004209		16 Feb 2016	Finding
Clinodactyly of the 5th toe	Human Phenotype Ontology	C4025741	HP:0001864		16 Feb 2016	Finding
Clinodactyly of the thumb	Human Phenotype Ontology	C1856888	HP:0040023		16 Feb 2016	Finding
ClinVar	NCBI curation				10 Jul 2017	Disease
Clitoral carcinoma	MONDO	C1333070	MONDO:0024873		17 Apr 2020	Disease
clitoral enlargement					19 Jan 2019	Finding
Clitoral hypertrophy	Human Phenotype Ontology	C0156394	HP:0008665		16 Feb 2016	Finding
Clitoral hypoplasia	Human Phenotype Ontology	C1844527	HP:0000060		16 Feb 2016	Finding
Clitoris cancer	MONDO	C0153589	MONDO:0002290		17 Apr 2020	Disease
Clitoris neoplasm	MONDO	C1263793	MONDO:0024877		17 Apr 2020	Disease
clitoris-like phallus					17 Jul 2020	Finding
clitoromegaly					01 Mar 2021	Finding
Clivus chondroid chordoma	MONDO	C1333072	MONDO:0003850		17 Apr 2020	Disease
Clivus chordoma	MONDO	C1333071	MONDO:0003849		17 Apr 2020	Disease
Clivus meningioma	MONDO	C1333073	MONDO:0003908		17 Apr 2020	Disease
CLN13 Disease		CN230078			16 Feb 2016	Disease
CLN14 Disease		CN230077			16 Feb 2016	Disease
Cloacal abnormality	Human Phenotype Ontology	C4022816	HP:0012620		16 Feb 2016	Finding
Cloacal exstrophy	Human Phenotype Ontology	C0345217	HP:0010475		16 Feb 2016	Disease
Cloacal exstrophy	MONDO	C0345217	MONDO:0009774		16 Feb 2016	Disease
Cloacogenic carcinoma	MONDO		MONDO:0004129		16 Feb 2016	Disease
Clobazam response	NCBI curation	CN456489			12 Sep 2017	Pharmacological response
Clobetasol response		CN297754			23 Jun 2021	Pharmacological response
Clofarabine response		CN297787			23 Jun 2021	Pharmacological response
Clomifene response		CN297788			23 Jun 2021	Pharmacological response
Clomipramine response	NCBI curation	CN221256			16 Feb 2016	Pharmacological response
clomipramine response - Dosage, Toxicity/ADR	PharmGKB	CN236505	1183617220		18 May 2016	Pharmacological response
clomipramine response - Efficacy	PharmGKB	CN236506	982038133		18 May 2016	Pharmacological response
Clonazepam response		CN297789			23 Jun 2021	Pharmacological response
Clonidine response		CN297790			23 Jun 2021	Pharmacological response
Clonorchiasis	MONDO	C0009021	MONDO:0005705		04 Jun 2020	Infectious disease
Clonus	Human Phenotype Ontology	C0009024	HP:0002169		16 Feb 2016	Finding
Clopidogrel response	NCBI curation	C2674941			16 Feb 2016	Pharmacological response
clopidogrel response - Dosage, Efficacy, Toxicity/ADR	PharmGKB	CN236507	655386913		18 May 2016	Pharmacological response
clopidogrel response - Efficacy	PharmGKB	CN236508	982028896		18 May 2016	Pharmacological response
clopidogrel response - Efficacy, Toxicity/ADR	PharmGKB	CN236509	981201917		18 May 2016	Pharmacological response
Clorazepate response		CN297791			23 Jun 2021	Pharmacological response
Closed comedo	Human Phenotype Ontology	C0302302	HP:0025250		02 Apr 2017	Finding
Closed funnel shaped total retinal detachment		CN232378			16 Feb 2016	Finding
Closed iniencephaly	MONDO	C0431286	MONDO:0017061		17 Apr 2020	Disease
Clostridium difficile					16 Feb 2016	Disease
Clostridium difficile colitis	MONDO	C0238106	MONDO:0000705		04 Jun 2020	Infectious disease
Clostridium infectious disease	MONDO	CN281881	MONDO:0024388		04 Jun 2020	Infectious disease
Clostridium sordellii					16 Feb 2016	Disease
Clotrimazole response		CN297792			23 Jun 2021	Pharmacological response
Cloverleaf skull	Human Phenotype Ontology	C1860050	HP:0002676		16 Feb 2016	Finding
Cloverleaf skull syndrome		C0432126		148800	16 Feb 2016	Disease
Cloverleaf skull-asphyxiating thoracic dysplasia syndrome	MONDO	C5190852	MONDO:0015086		17 Apr 2020	Disease
Cloverleaf tongue	NCBI curation				16 Feb 2016	Disease
Clozapine response	NCBI curation	CN077971			16 Feb 2016	Pharmacological response
clozapine response - Toxicity/ADR	PharmGKB	CN236510	1446898992		18 May 2016	Pharmacological response
CLTC-Related Disorder					29 Aug 2019	Disease
Club-shaped distal femur	Human Phenotype Ontology	C1857505	HP:0006384		16 Feb 2016	Finding
Club-shaped proximal femur	Human Phenotype Ontology	C1968611	HP:0006406		16 Feb 2016	Finding
Clubbing	Human Phenotype Ontology	C0149651	HP:0001217		16 Feb 2016	Finding
Clubbing of fingers	Human Phenotype Ontology	C0009080	HP:0100759		16 Feb 2016	Finding
Clubbing of toes	Human Phenotype Ontology	C3887489	HP:0100760		16 Feb 2016	Finding
Clubfoot	Human Phenotype Ontology	C0009081	HP:0001762	119800	17 Apr 2020	Disease
Clubfoot	MONDO	C0009081	MONDO:0007342	119800	17 Apr 2020	Disease
Clumping of elastic fibers in the dermis	Human Phenotype Ontology	C4476630	HP:0025165		02 Apr 2017	Finding
Clumsiness	Human Phenotype Ontology	C0233844	HP:0002312		16 Feb 2016	Finding
clumsiness for all types of motricity					01 Oct 2020	Finding
clumsy					01 Oct 2020	Finding
Cluster headache	Human Phenotype Ontology	C0009088	HP:0012199		16 Feb 2016	Finding
Cluster headache syndrome	MONDO		MONDO:0043537		17 Apr 2020	Disease
Cluster headache, familial	MONDO	C1861513	MONDO:0007344	119915	16 Feb 2016	Disease
Clusters of axonal regeneration	Human Phenotype Ontology	C1843169	HP:0007233		16 Feb 2016	Finding
Cluttering					16 Feb 2016	Disease
Cm1 with syringomyelia	NCBI curation				16 Feb 2016	Disease
Cms ie	NCBI curation				16 Feb 2016	Disease
CMV antenatal infection					16 Feb 2016	Disease
CN228314; C0424688; CN228308					16 Feb 2016	Finding
CN238689					22 Apr 2021	Finding
CNGB3-Related Disorders		CN239340			02 Dec 2016	Disease
CNNM2-related neurodevelopmental disorder and hypomagnesemia					21 Dec 2020	Disease
CNOT1-Related Disorder					17 Jul 2020	Disease
CNS and orofacial malformations including cleft lip and palate, micrognathia	NCBI curation	CN228808			16 Feb 2016	Finding
CNS demyelinating autoimmune disease	MONDO		MONDO:0006704		17 Apr 2020	Disease
CNS demyelination	Human Phenotype Ontology	C0338474	HP:0007305		16 Feb 2016	Finding
CNS disorder					01 Jul 2020	Disease
CNS hypermyelination	Human Phenotype Ontology	C4022742	HP:0012754		16 Feb 2016	Finding
CNS hypomyelination	Human Phenotype Ontology	C4025616	HP:0003429		16 Feb 2016	Finding
CNS infection	Human Phenotype Ontology	C4759823	HP:0011450		16 Feb 2016	Infectious disease
CNTNAP1-related disease					21 Dec 2019	Disease
CNTNAP5-associated intellectual disability					06 Oct 2020	Disease
COACH syndrome 2	MONDO	C5436837	MONDO:0030859	619111	07 Jun 2021	Disease
COACH syndrome 3	MONDO	C5436841	MONDO:0030862	619113	07 Jun 2021	Disease
coagulation defects					14 Mar 2019	Finding
Coagulation factor deficiency syndrome		C0272315			08 May 2019	Disease
Coagulation factor viia response		CN297793			23 Jun 2021	Pharmacological response
Coagulation protein disease	MONDO	C0600503	MONDO:0002242		17 Apr 2020	Disease
Coalescence of tarsal bones	Human Phenotype Ontology	C4025130	HP:0005802		16 Feb 2016	Finding
Coarctation in the transverse aortic arch	Human Phenotype Ontology	C4476934	HP:0031053		04 Apr 2018	Finding
Coarctation of abdominal aorta	Human Phenotype Ontology	C4025263	HP:0004974		16 Feb 2016	Finding
Coarctation of aorta		C0003492		120000	16 Feb 2016	Disease
Coarctation of aorta dominant					16 Feb 2016	Disease
Coarctation of the descending aortic arch	Human Phenotype Ontology	C4022958	HP:0012305		16 Feb 2016	Finding
Coarse face hypotonia constipation	MONDO		MONDO:0022791		16 Feb 2016	Disease
Coarse facial features	Human Phenotype Ontology	C1845847	HP:0000280		16 Feb 2016	Finding
coarse facial features, macroglossia, failure to thrive, redundant skin on plams, atrial tachycardia		CN235274			19 Feb 2016	Finding
Coarse features		C0424492			19 Feb 2016	Finding
Coarse hair	Human Phenotype Ontology	C0277959	HP:0002208		16 Feb 2016	Finding
Coarse humeral trabeculae	Human Phenotype Ontology	C4025544	HP:0003866		02 Apr 2017	Finding
Coarsened hepatic echotexture	Human Phenotype Ontology	C4477003	HP:0031144		04 Apr 2018	Finding
Coat hanger sign of ribs	Human Phenotype Ontology	C4025010	HP:0006665		16 Feb 2016	Finding
Coated aorta	Human Phenotype Ontology	C4476810	HP:0025494		04 Apr 2018	Finding
Cobalamin C disease	NCBI curation	C1848561		277400	20 Nov 2020	Disease
Cobalamin deficiency	NCBI curation	C0042847			16 Feb 2016	Disease
Cobb syndrome	MONDO	C0346068	MONDO:0018893		17 Apr 2020	Disease
Cobblestone retinal degeneration	MONDO	C0154854	MONDO:0001456		17 Apr 2020	Disease
Cobblestone-like hyperkeratosis	Human Phenotype Ontology	C4531224	HP:0031288		04 Apr 2018	Finding
Cocaine abuse	MONDO	C0009171	MONDO:0004456		17 Apr 2020	Disease
Cocaine dependence	MONDO	C0600427	MONDO:0005186		17 Apr 2020	Disease
Cocaine embryofetopathy	MONDO	C0432371	MONDO:0016007		17 Apr 2020	Disease
Cocaine intoxication	MONDO	C0009176	MONDO:0019544		17 Apr 2020	Disease
cocaine response - Toxicity/ADR	PharmGKB	CN240597	1447963234		17 Feb 2017	Pharmacological response
Cocaine-Related Disorders	PharmGKB	CN240612			17 Feb 2017	Disease
Coccidioidomycosis	MONDO	C0009186	MONDO:0005706		16 Feb 2016	Infectious disease
Coccidiosis	MONDO	C0009187	MONDO:0005707		22 Jan 2021	Infectious disease
Coccygodynia	MONDO		MONDO:0022792		16 Feb 2016	Disease
Cochlear aplasia	Human Phenotype Ontology	C4023390	HP:0011375		16 Feb 2016	Finding
Cochlear degeneration	Human Phenotype Ontology	C1849095	HP:0005102		16 Feb 2016	Finding
Cochlear disease	MONDO	C0009197	MONDO:0003452		17 Apr 2020	Disease
cochlear hypoplasia					05 Sep 2019	Finding
Cochlear malformation	Human Phenotype Ontology	C1862050	HP:0008554		16 Feb 2016	Finding
Cochleosaccular degeneration	NCBI curation				16 Feb 2016	Disease
Cochleosaccular degeneration-cataract syndrome	MONDO	C1861512	MONDO:0007346	120040	17 Apr 2020	Disease
Cochleovestibular dysplasia	MONDO	CN258754	MONDO:0044709		17 Apr 2020	Disease
Cockayne syndrome	MONDO	C0009207	MONDO:0016006		16 Feb 2016	Disease
Cockayne syndrome B	NCBI curation	C0751038		133540	20 May 2016	Disease
Cockayne syndrome type A	NCBI curation	C0751039		216400	16 Feb 2016	Disease
Cockayne syndrome type II		C5437782			16 Feb 2016	Disease
Cockayne syndrome, type III	NCBI curation	C0751037			24 Aug 2016	Disease
Cocoon syndrome	MONDO	C3150891	MONDO:0013334	613630	16 Feb 2016	Disease
CODAS syndrome	MONDO	C1838180	MONDO:0010879	600373	16 Feb 2016	Disease
Codeine response	NCBI curation	C1837160			16 Feb 2016	Pharmacological response
CODON 72 POLYMORPHISM					02 Nov 2018	Disease
Coenurosis	MONDO	C0009225	MONDO:0000293		04 Jun 2020	Infectious disease
Coenzyme Q10 deficiency, Oculomotor Apraxia Type		CN239212			02 Dec 2016	Disease
Coenzyme Q10 deficiency, primary	OMIM phenotypic series	C1843920	PS607426		16 Feb 2016	Disease
Coenzyme Q10 deficiency, primary 1	NCBI curation	C3551954		607426	16 Feb 2016	Disease
Coenzyme Q10 deficiency, primary, 2	NCBI curation	C3553354		614651	16 Feb 2016	Disease
Coenzyme Q10 deficiency, primary, 3	MONDO	C3553358	MONDO:0013838	614652	16 Feb 2016	Disease
Coenzyme Q10 deficiency, primary, 4	NCBI curation	C2677589		612016	16 Feb 2016	Disease
Coenzyme Q10 deficiency, primary, 5	NCBI curation	C3553374		614654	16 Feb 2016	Disease
Coenzyme Q10 deficiency, primary, 6	NCBI curation	C3553349		614650	16 Feb 2016	Disease
Coenzyme Q10 deficiency, primary, 7	NCBI curation	C4225392		616276	16 Feb 2016	Disease
Coenzyme Q10 deficiency, primary, 8	NCBI curation	C4225226		616733	16 Feb 2016	Disease
Coenzyme q10 deficiency, primary, 9	MONDO	C5436638	MONDO:0033615	619028	22 Jan 2021	Disease
Coenzyme Q10 deficiency, Spinocerebellar Ataxia Type		CN239204			02 Dec 2016	Disease
Coffin Siris/Intellectual Disability		CN185481			16 Feb 2016	Disease
Coffin syndrome 1		C0795900			16 Feb 2016	Disease
Coffin-Lowry syndrome	MONDO	C0265252	MONDO:0010561	303600	16 Feb 2016	Disease
Coffin-Siris syndrome	MONDO	C0265338	MONDO:0015452		22 Sep 2016	Disease
Coffin-Siris syndrome	OMIM phenotypic series	C0265338	PS135900		22 Sep 2016	Disease
Coffin-Siris syndrome 1	MONDO	C3281201	MONDO:0007617	135900	22 Sep 2016	Disease
Coffin-Siris syndrome 10	MONDO	C4760583	MONDO:0032791	618506	22 Jan 2021	Disease
Coffin-Siris syndrome 11	MONDO	C5241442	MONDO:0032912	618779	22 Jan 2021	Disease
Coffin-Siris syndrome 12	MONDO	CN300366	MONDO:0025699	619325	27 Aug 2021	Disease
Coffin-Siris syndrome 5	MONDO	C4310788	MONDO:0014838	616938	22 Sep 2016	Disease
Coffin-Siris syndrome 6	MONDO	C4540499	MONDO:0033492	617808	22 Jan 2021	Disease
Coffin-Siris syndrome 7	MONDO	C4747954	MONDO:0054831	618027	22 Jan 2021	Disease
Coffin-Siris syndrome 8	MONDO	C5193054	MONDO:0032702	618362	22 Jan 2021	Disease
COFS syndrome	MONDO	CN239231	MONDO:0008926		27 May 2020	Disease
COG1 congenital disorder of glycosylation	NCBI curation	C2931011		611209	25 Dec 2017	Disease
COG4 related congenital disorder of glycosylation, autosomal dominant					27 Apr 2018	Finding
COG6-related disorder					21 Dec 2019	Disease
COG7 congenital disorder of glycosylation	NCBI curation	C2931010		608779	25 Dec 2017	Disease
Cogan syndrome	MONDO	C0271270	MONDO:0015453		28 Jul 2021	Disease
Cogan-Reese syndrome	MONDO	C1168173	MONDO:0020370		16 Feb 2016	Disease
Cognitive delays		CN235481			11 Mar 2016	Finding
cognitive developmental delay					05 Sep 2019	Finding
Cognitive disorder	MONDO	C0009241	MONDO:0002039		18 Jan 2019	Finding
Cognitive function 1, social	NCBI curation	C1848140		300082	16 Feb 2016	Disease
Cognitive impairment	NCBI curation	C0338656			16 Feb 2016	Disease
Cognitive impairment and autistic features					17 Aug 2020	Disease
Cognitive impairment with or without cerebellar ataxia	MONDO	C3280415	MONDO:0013680	614306	16 Feb 2016	Disease
COGNITIVE IMPAIRMENT WITHOUT CEREBELLAR ATAXIA					31 Mar 2019	Disease
Cogwheel rigidity	Human Phenotype Ontology	C0151564	HP:0002396		16 Feb 2016	Finding
Cohen Hayden syndrome					16 Feb 2016	Disease
Cohen lockood wyborney syndrome	MONDO		MONDO:0022798		22 Jan 2021	Disease
Cohen syndrome	MONDO	C0265223	MONDO:0008999	216550	30 Jun 2016	Disease
Cohen-Gibson syndrome	MONDO	C4479654	MONDO:0060510	617561	30 Jul 2017	Disease
Coinfection	MONDO	C0275524	MONDO:0100128		22 Jan 2021	Infectious disease
COL11A1-Related Disorders					23 May 2019	Disease
COL11A2- Related Disorder					29 Aug 2019	Disease
COL11A2-Related Disorders					23 May 2019	Disease
COL12A1- Related Disorder					17 Jul 2020	Disease
COL1A1-related osteogenesis imperfecta					23 Mar 2021	Disease
COL1A2-Related Disorder					13 Oct 2017	Disease
COL1A2-Related Disorders					23 May 2019	Disease
COL2A1-Related Disorder					11 Oct 2018	Disease
COL2A1-related disorders					21 May 2020	Disease
COL2A1-related phenotype					21 Dec 2019	Disease
COL2A1-related skeletal dysplasia					18 Oct 2019	Disease
COL3A1-Related Disorder					29 Aug 2019	Disease
COL4A1 or COL4A2-related cerebral small vessel disease	MONDO	CN776854	MONDO:0018788		17 Apr 2020	Disease
COL4A1 or COL4A2-related cerebral small vessel disease with hemorrhagic tendancy	MONDO	CN776855	MONDO:0018790		17 Apr 2020	Disease
COL4A1 or COL4A2-related cerebral small vessel disease with ischemic tendancy	MONDO	CN776856	MONDO:0018789		17 Apr 2020	Disease
COL4A1-Related Disorder					13 Oct 2017	Disease
COL4A3-Related Disorders					23 May 2019	Disease
COL6A1-related Disorder					13 Oct 2017	Disease
COL6A2-related disorder					07 Dec 2018	Disease
COL6A3-related phenotype					21 Dec 2019	Disease
COL6A5 POLYMORPHISM					29 May 2020	Disease
COL7A1-related disorders					21 Dec 2019	Disease
COL7A1-related epidermolysis bullosa					04 Mar 2021	Disease
COL9A1-Related Disorders					23 May 2019	Disease
COL9A2-Related Disorders					23 May 2019	Disease
Colchicine poisoning	MONDO		MONDO:0017859		17 Apr 2020	Disease
Colchicine resistance	NCBI curation	C1861502		120080	16 Feb 2016	Pharmacological response
Colchicine response		CN297794			23 Jun 2021	Pharmacological response
Cold agglutinin disease	MONDO	C1264008	MONDO:0018922		16 Feb 2016	Disease
Cold contact urticaria					16 Feb 2016	Disease
Cold paresis	Human Phenotype Ontology	C4531172	HP:0031372		04 Apr 2018	Finding
Cold urticaria	MONDO	C0221207	MONDO:0022799		22 Jan 2021	Disease
Cold-induced hand cramps	Human Phenotype Ontology	C1832279	HP:0003435		16 Feb 2016	Finding
Cold-induced hemolysis	Human Phenotype Ontology	C4531091	HP:0031484		04 Apr 2018	Finding
Cold-induced muscle cramps	Human Phenotype Ontology	C1861675	HP:0003449		16 Feb 2016	Finding
Cold-induced sweating	Human Phenotype Ontology	C4476686	HP:0025278		02 Apr 2017	Finding
Cold-induced sweating syndrome	OMIM phenotypic series	C1832409	PS272430		16 Feb 2016	Disease
Cold-induced sweating syndrome	MONDO	C1832409	MONDO:0015526		16 Feb 2016	Disease
Cold-induced sweating syndrome - hyperthermia spectrum	MONDO	CN226150	MONDO:0018431		17 Apr 2020	Disease
Cold-induced sweating syndrome 1	MONDO	C1848947	MONDO:0010091	272430	16 Feb 2016	Disease
Cold-induced sweating syndrome 2	MONDO	C1853198	MONDO:0012467	610313	16 Feb 2016	Disease
Cold-sensitive myotonia	Human Phenotype Ontology	C4022682	HP:0012904		16 Feb 2016	Finding
Cole disease	NCBI curation	C3809781		615522	16 Feb 2016	Disease
Cole-Carpenter syndrome	MONDO	C1862178	MONDO:0016085		22 Sep 2016	Disease
Cole-Carpenter syndrome	OMIM phenotypic series	C1862178	PS112240		22 Sep 2016	Disease
Cole-Carpenter syndrome 1	MONDO	C4317154	MONDO:0007204	112240	22 Sep 2016	Disease
Cole-Carpenter syndrome 2	MONDO	C4225382	MONDO:0014573	616294	22 Sep 2016	Disease
Coleman Randall syndrome					16 Feb 2016	Disease
Colesevelam response		CN297795			23 Jun 2021	Pharmacological response
COLIPASE, CONGENITAL ABSENCE OF PANCREATIC					16 Feb 2016	Disease
Colistimethate response		CN297796			23 Jun 2021	Pharmacological response
Colitis	MONDO	C0009319	MONDO:0005292		16 Feb 2016	Finding
Colitis	Human Phenotype Ontology	C0009319	HP:0002583		16 Feb 2016	Finding
Collagen IV-related nephropathies	NCBI curation	CN076135			16 Feb 2016	Disease
Collagen type III glomerulopathy	MONDO	C3872695	MONDO:0019396		17 Apr 2020	Disease
COLLAGEN TYPE III POLYMORPHISM					16 Feb 2016	Disease
Collagen Type VI-Related Autosomal Dominant Limb-girdle Muscular Dystrophy		CN230143			16 Feb 2016	Disease
Collagen VI-related myopathy	NCBI curation	CN117976			16 Feb 2016	Disease
Collagenopathy	MONDO		MONDO:0004603		17 Apr 2020	Disease
Collagenopathy type 2 alpha 1	MONDO	C2931073	MONDO:0022800		16 Feb 2016	Disease
Collagenosis, familial reactive perforating	NCBI curation	C1857624		216700	16 Feb 2016	Disease
Collagenous colitis	MONDO	C0238067	MONDO:0000703		16 Feb 2016	Disease
Collagenous gastritis	MONDO	C4040043	MONDO:0043355		17 Apr 2020	Disease
Collagenous sprue	MONDO	C0341299	MONDO:0044092		17 Apr 2020	Disease
Collapse (finding)		C0344329			16 Feb 2016	Finding
Collecting duct carcinoma	MONDO	C1266044	MONDO:0005220		16 Feb 2016	Disease
Collectionism	Human Phenotype Ontology	C0424290	HP:0030212		16 Feb 2016	Finding
Collins Pope syndrome					16 Feb 2016	Disease
